X,Y,2000-04-08_TPZ,2000-04-08_NDVI,2001-05-13_TPZ,2001-05-13_NDVI,CLC06,CLC06_wiosna,odl_od_morza,InsCalk_2000-04,InsCalk_2001-05
470940,5977350,7.930176,-0.285714,12.491791,-0.365854,512,6,3265.59326,51.759251,73.240799
469140,5977470,13.951965,0.180952,19.861511,0.290909,311,4,2568.46265,53.587914,74.572571
468870,5977770,11.042969,0.255319,19.598236,0.242718,311,4,2204.94897,57.528534,77.139351
469650,5977770,13.556061,0.237113,20.867462,0.208333,313,4,2423.32422,55.991257,76.183578
471180,5977770,11.163239,-0.107143,17.992279,-0.25,312,4,2999.55005,51.755161,73.238434
473010,5977800,9.109161,-0.26087,13.431946,-0.471698,512,6,3833.07959,51.754807,73.238167
471900,5977890,10.888306,0.333333,22.480072,0.129412,313,4,3226.2207,53.179428,74.316147
475530,5977890,19.265625,0.207101,21.726196,0.166667,211,3,4752.98877,51.257729,72.863686
477660,5977950,18.45285,0.431953,17.237061,0.560976,211,3,5460,51.750221,73.233627
477270,5978070,18.137207,0.00565,17.355774,0.542484,211,3,5192.34033,51.757854,73.243668
478320,5978130,20.012848,0.088608,24.69635,0.248322,211,3,5515.84082,52.155666,73.543503
469980,5978190,14.307434,0.140351,23.302917,0.171717,311,4,2135.06445,55.720623,76.191933
473010,5978220,21.906464,0.188406,29.186127,0.262411,313,4,3475.08276,56.233421,76.508415
476430,5978310,17.585815,0.304878,21.846588,0.384615,211,3,4657.25244,51.886093,73.333038
467100,5978400,9.964569,0.093023,19.212555,0.259259,311,4,806.101746,45.16534,67.893669
473070,5978520,14.33432,0.229167,22.254089,0.305263,313,4,3241.38867,49.986382,71.911438
477690,5978670,24.415192,-0.009346,20.17041,0.359375,211,3,4806.74512,51.749352,73.237099
472740,5978730,10.683685,0.26087,20.875763,0.217391,312,4,2898.06836,51.192032,72.81028
469590,5978820,10.365326,0.148936,20.608887,0.245283,311,4,1413.82459,43.916515,67.071907
475500,5978880,17.075165,0.417722,26.345215,0.348837,243,3,3804.32642,51.019688,72.673668
477840,5978910,17.344269,0.292308,24.829926,0.312977,211,3,4635.16992,51.747017,73.235756
476760,5978970,16.235779,0.142857,25.386902,0.109589,231,3,4163.95264,51.071865,72.709717
476730,5979000,16.235779,0.112583,25.386902,0.034483,231,3,4124.42725,51.666039,73.171158
477120,5979180,18.555786,0.202797,26.335754,0.208633,242,2,4117.00147,51.680107,73.183586
470640,5979270,11.560364,0.171717,22.665405,0.230769,313,4,1432.79443,53.55452,74.632866
469740,5979300,9.964569,0.13253,20.360321,0.242105,313,4,1015.13544,45.039017,67.516609
477840,5979330,19.63974,-0.02439,26.278412,0.320513,211,3,4234.67822,51.746292,73.237312
475770,5979390,17.759003,0.006623,32.068085,-0.147727,211,3,3415.25977,51.070816,72.72049
