X,Y,2000-04-08_TPZ,2000-04-08_NDVI,2001-05-13_TPZ,2001-05-13_NDVI,CLC06,CLC06_wiosna,odl_od_morza,InsCalk_2000-04,InsCalk_2001-05
454140,5974200,17.56839,0.145161,24.933167,0.12963,312,4,351.140991,51.981129,73.404816
453510,5974380,18.890503,-0.037037,32.068085,-0.234043,123,1,417.851654,51.595032,73.110596
477330,5974410,18.137207,0.048544,25.839569,0.333333,211,3,8625.03906,53.168583,74.298759
467670,5974440,12.252808,0.348315,22.649078,0.2,312,4,3903.22949,52.190681,73.570259
476670,5974470,19.63974,-0.013514,24.536957,0.17037,211,3,8357.94824,52.414425,73.737251
469200,5974500,9.081573,0.386364,21.604797,0.220779,312,4,4985.14795,51.80574,73.278404
470010,5974680,21.38385,0.232,28.372498,0.259259,231,3,5452.8252,51.789799,73.260719
473280,5974680,18.514343,0.151899,29.516663,0.231884,211,3,6708.2041,51.788261,73.259514
469290,5974770,10.058441,0.303371,21.726196,0.164557,312,4,4863.4248,51.71447,73.211143
453270,5974800,17.379791,0.151515,29.423065,0.102804,123,1,108.166542,51.353352,72.921692
472680,5974830,15.467712,0.075949,25.655884,0.096774,231,3,6296.92773,51.862961,73.314117
463530,5974890,17.84903,0.241379,27.639648,0.090909,142,2,948.683289,51.383884,72.96077
463680,5974950,15.082031,0.134021,25.065857,0.299145,112,2,982.700378,50.451817,72.115578
471720,5975160,18.712555,0.211009,25.333099,0.284553,231,3,5587.57568,51.780426,73.253044
473130,5975310,17.204987,0.188811,21.287781,0.312977,231,3,6079.42432,51.775524,73.24823
466320,5975400,9.983215,0.259259,19.499023,0.189189,312,4,2281.77564,47.501396,69.853745
470520,5975550,16.246033,0.181208,24.757935,0.3,231,3,4807.68115,51.79184,73.265167
473760,5975610,15.067047,0.503268,27.639648,-0.089888,231,3,6110.35986,52.058754,73.465637
464130,5975790,17.379791,-0.050505,27.639648,-0.049505,112,2,558.032288,52.938534,73.832443
470610,5975820,12.506134,0.304348,23.924835,0.204545,242,2,4582.15039,53.152664,74.285904
469200,5975850,10.949341,0.288889,23.599304,0.263158,312,4,4067.73901,53.954117,74.861694
470520,5975850,18.337433,0.162162,28.533386,0.092199,242,2,4525.22949,52.90258,74.100067
476460,5975850,16.36853,0.338129,32.068085,-0.073684,211,3,6982.33496,51.786755,73.264565
463530,5975940,15.852264,0.011494,27.109863,-0.036585,112,2,108.166542,51.090061,72.72364
464910,5975970,9.471863,0.316456,19.401367,0.12,312,4,912.414368,46.672493,69.150551
478440,5975970,21.126312,0.012346,28.952301,0.061728,211,3,7585.01807,51.736137,73.223602
472170,5976000,16.134247,0.409091,25.771332,0.310924,242,2,5027.21582,52.464447,73.77491
472800,5976090,16.185913,0.459459,33.81192,0.068323,242,2,5236.26758,51.975372,73.40889
476280,5976120,13.642761,0.566667,23.851501,0.366906,211,3,6669.25049,51.723114,73.210091
472500,5976150,21.126312,-0.044025,32.068085,-0.195402,242,2,5044.72998,51.046024,72.689545
474690,5976180,18.980011,0.168831,27.668701,0.031447,231,3,6043.34326,51.832355,73.293213
478800,5976210,13.762024,0.25,22.299042,0.195652,313,4,7494.77832,52.481697,73.800705
467730,5976300,11.249756,0.296703,21.167572,0.204545,313,4,2681.26831,54.119732,75.025467
472530,5976390,20.45755,0.090909,29.911499,0.357143,242,2,4844.23389,51.775139,73.253952
464640,5976420,11.250763,0.213483,19.711121,0.26,311,4,403.608734,46.468468,69.165398
466950,5976450,9.844269,0.295455,18.932861,0.160494,312,4,2015.36597,51.806183,73.119835
473940,5976450,15.105835,0.485714,22.508453,0.502825,243,3,5469.63428,51.799198,73.265312
468210,5976750,14.862457,0.185841,21.726196,0.145833,313,4,2731.48315,54.327316,75.222633
472080,5976840,9.109161,-0.244444,14.367096,-0.45098,512,6,4239.66992,51.764164,73.243675
473310,5976900,14.862457,0.244898,24.374817,0.217391,312,4,4764.71387,52.233593,73.607887
477930,5976930,17.159821,0.310924,23.391785,0.349206,242,2,6500.24609,51.762825,73.242844
467010,5976960,10.305298,0.26087,19.558228,0.255814,311,4,1705.52051,52.700882,74.028145
469680,5977050,12.744598,0.175258,20.078064,0.315789,312,4,3112.2019,49.565365,71.474472
