"X","Y","X1999.09.13_TPZ","X1999.09.13_NDVI","X2002.08.20_TPZ","X2002.08.20_NDVI","CLC06","CLC06_p_lato","odl_od_morza","InsCalk_1999.09","InsCalk_2002.08"
465450,5975280,22.417786,0.357143,22.591064,0.352113,312,4,1781.90906,43.896347,60.168018
474360,5975310,20.555237,0.5,22.393951,0.451327,231,3,6664.39063,47.499485,63.428581
467370,5975370,20.23349,0.422222,20.607544,0.376623,312,4,3054.70142,48.802391,64.596794
462750,5975430,23.402283,0.266667,24.945038,0.226667,112,2,84.852814,48.613556,64.419159
465390,5975490,22.86084,0.358491,22.369965,0.395349,312,4,1591.13171,46.516766,62.471603
475500,5975490,23.599426,0.362319,24.144836,0.314286,231,3,6994.11914,48.222115,64.071243
477060,5975490,30.794495,0.08,30.804626,0.092437,211,3,7517.61914,48.234367,64.084702
471210,5975550,20.494659,0.448819,21.79303,0.428571,231,3,5042.23145,48.802334,64.58448
477390,5975610,29.17984,0.138462,31.695313,0.145455,211,3,7521.32959,48.230553,64.081322
478440,5975610,26.730011,0.299145,30.292969,0.221053,211,3,7913.91797,48.257675,64.105339
476190,5975730,25.397034,0.305556,26.66803,0.291667,211,3,7010.82715,48.220482,64.070168
464880,5975760,21.456665,0.445545,20.490723,0.390244,312,4,1039.66345,51.900299,67.227264
465360,5975910,20.953888,0.381443,20.457275,0.384615,312,4,1272.79224,48.682426,64.50116
478530,5976270,25.176758,0.469388,25.060547,0.41573,313,4,7343.07861,47.84166,63.742355
464490,5976330,22.818817,0.049505,25.260101,0.12,313,4,361.247833,49.288689,64.964722
473040,5976450,32.394836,0,26.158539,0.085106,211,3,5031.15283,48.228561,64.082382
476460,5976480,31.596466,0,37.356903,-0.009709,313,4,6384.64551,47.630928,63.549583
472800,5976600,26.693207,0.215686,26.640533,0.222222,242,2,4789.95801,48.216988,64.069504
470610,5976630,19.872284,0.539683,20.644073,0.5,311,4,3816.72632,48.210602,64.062698
472200,5976780,20.450439,0.333333,21.997406,0.384615,512,6,4346.99902,48.20903,64.061592
472740,5976780,23.823914,0.40458,25.335175,0.372549,242,2,4602.53174,48.90897,64.664177
479400,5976780,18.980957,0.559055,18.991302,0.495146,313,4,7108.9873,48.208897,64.061584
469770,5976810,19.486023,0.44086,20.964386,0.384615,313,4,3368.15967,44.845222,61.031818
474360,5976870,27.054718,0.322314,28.302277,0.247312,243,3,5278.80664,48.525856,64.344154
466980,5976900,20.471313,0.413043,19.753052,0.402597,312,4,1721.54004,46.620461,62.678905
470040,5976900,19.524811,0.452632,20.365509,0.382716,312,4,3376.1665,48.349987,64.198814
472440,5976900,20.801575,0.496599,22.391235,0.431193,243,3,4353.61914,48.022194,63.896141
467700,5976960,19.819946,0.416667,20.594299,0.410256,313,4,2207.80444,48.196156,63.876732
478050,5976990,26.249817,0.38843,25.636993,0.386139,242,2,6495.53711,48.851246,64.629074
479670,5977110,21.046478,0.431373,21.93512,0.364706,313,4,6878.11768,48.210918,64.06517
473760,5977170,23.980408,0.392,25.128906,0.381443,243,3,4755.54395,47.794304,63.69099
468480,5977290,19.101013,0.536,20.005798,0.494949,311,4,2566.88525,48.232185,64.137955
476550,5977290,31.996063,0.132948,31.315216,-0.029126,211,3,5654.42285,48.213425,64.068733
474390,5977320,24.453857,0.589189,32.332947,0.009009,211,3,4874.51514,48.21323,64.065369
465600,5977350,19.641663,0.535714,20.131165,0.472527,311,4,424.264069,42.183842,58.603523
466200,5977590,20.223663,0.572519,21.117737,0.533981,311,4,680.147034,52.514748,67.807076
474990,5977800,27.602081,0.089744,30.25116,0.037736,211,3,4667.67627,48.217953,64.075912
465510,5977860,16.006989,-0.162162,17.161499,-0.138889,331,4,0,41.231842,56.188766
469170,5977890,19.222198,0.450549,19.354553,0.410256,313,4,2168.31738,47.866348,63.773197
476190,5977980,25.800385,0.47651,28.596619,0.4,211,3,4880.69678,47.960106,63.842163
466440,5978010,19.232269,0.518519,20.109314,0.454545,311,4,573.14917,48.629208,64.408142
466980,5978010,19.284454,0.591241,20.421448,0.519231,311,4,979.489685,51.701599,67.074699
478890,5978010,27.347046,0.319149,25.118134,0.363636,243,3,5785.95703,48.19635,64.052368
473700,5978130,20.200226,0.564516,21.101807,0.519231,313,4,3860.80298,51.524395,66.670624
472740,5978160,28.066589,0.300813,29.398346,0.252747,243,3,3386.14819,51.023548,66.532921
468720,5978310,18.820618,0.569231,19.565948,0.510204,313,4,1644.53638,50.490482,66.064713
470130,5978310,19.21875,0.560976,20.126221,0.52,311,4,2078.67749,49.972008,65.637375
471660,5978370,20.295258,0.472527,21.500397,0.432099,312,4,2690.81763,47.97459,63.857819
466500,5978400,19.52533,0.551724,20.614105,0.489362,311,4,361.247833,39.689735,56.467892
469740,5978460,18.787415,0.526316,19.004578,0.465116,313,4,1802.49829,48.380707,64.164864
479160,5978460,26.414337,0.394366,25.708466,0.262136,243,3,5435.96338,48.659309,64.460281
476370,5978520,27.550385,0.113772,31.315216,-0.00813,211,3,4440.10156,48.196793,64.051788
478650,5978580,24.953674,0.474286,28.751221,0.148515,211,3,5170.5415,48.200233,64.059082
477630,5978610,28.059937,0.24812,37.356903,-0.02381,211,3,4837.35449,48.652527,64.455978
477750,5978820,29.17984,0.115789,32.153137,0.1875,211,3,4687.87793,48.223255,64.078148
475920,5978880,28.924744,0.14094,27.752014,0.191919,211,3,3944.17285,48.144508,64.010925
478920,5978940,30.392242,0.130435,30.292969,0,211,3,4904.70166,48.199799,64.060043
473790,5979060,19.39035,0.5,19.619354,0.452381,313,4,3037.12036,47.328445,63.288246
477420,5979150,30.794495,0.030303,27.898865,0.245283,242,2,4258.41504,47.562172,63.493431
472710,5979330,19.028931,0.474747,19.896515,0.414634,312,4,2361.44019,48.551403,64.381294
469230,5979480,19.092529,0.463918,20.800323,0.384615,311,4,674.166138,43.83857,60.090065
469440,5979630,19.55307,0.5,20.425323,0.414634,311,4,597.745789,47.785603,63.552246
478170,5979630,24.279083,0.375,23.387634,0.396226,231,3,4026.04028,48.134884,63.999512
470430,5979990,19.819946,0.409091,20.777863,0.333333,312,4,685.419556,46.671928,62.705513
478410,5980140,27.140656,0.025974,29.266296,0.128713,211,3,3606.24463,48.174622,64.036407
