X,Y,1999-09-13_TPZ,1999-09-13_NDVI,2002-08-20_TPZ,2002-08-20_NDVI,CLC06,CLC06_p_lato,odl_od_morza,InsCalk_1999-09,InsCalk_2002-08
473190,5966940,-999,-999,24.620575,0.387387,211,3,13156.5645,48.305737,64.130791
474570,5966940,-999,-999,22.046204,0.447619,231,4,14090.7412,48.307888,64.13295
471750,5967000,-999,-999,24.09906,0.407407,211,3,12160.958,49.673878,65.323456
472080,5967030,-999,-999,29.767914,0.245283,211,3,12349.291,48.334625,64.159531
473490,5967210,-999,-999,24.361969,0.297872,231,4,13165.626,48.303295,64.129532
474000,5967300,-999,-999,29.44455,0.168539,211,3,13438.4258,48.054985,63.912636
472020,5967360,-999,-999,34.355286,0.00885,211,3,12059.291,46.15451,62.200592
473370,5967360,-999,-999,23.165222,0.44,231,4,12973.6738,48.86047,64.618736
472140,5967390,-999,-999,28.40567,0.28972,211,3,12115.6182,47.72823,63.608818
474150,5967420,-999,-999,28.235046,0.119048,211,3,13453.4531,48.317444,64.146332
473970,5967690,-999,-999,29.780212,-0.010101,211,3,13133.8682,48.300625,64.128418
471180,5967780,-999,-999,30.804626,0.009009,211,3,11197.1152,49.363819,65.073631
471900,5967840,-999,-999,30.804626,0.171171,243,2,11619.918,49.723366,65.377502
473310,5967870,-999,-999,44.219147,-0.00885,211,3,12552.0879,48.324883,64.150414
474210,5967870,-999,-999,28.101379,0.221053,211,3,13173.416,47.715549,63.611649
470550,5967930,-999,-999,28.424591,0.388889,243,2,10682.6963,49.223114,64.869377
472500,5967930,-999,-999,36.360565,0.046729,211,3,11964.9238,51.700638,67.080833
472860,5967930,-999,-999,33.346283,0.105691,243,2,12208.9316,50.342232,65.918152
472500,5967960,-999,-999,36.360565,0.078431,211,3,11943.5049,51.389732,66.818108
473790,5967990,-999,-999,23.615417,0.436364,231,4,12792.9863,48.287148,64.116364
474330,5967990,-999,-999,26.684906,0.302752,211,3,13173.8262,49.003342,64.747391
473370,5968080,-999,-999,41.301758,-0.008264,211,3,12438.1748,48.915024,64.669563
474360,5968080,-999,-999,30.292969,0.06422,211,3,13132.3604,49.485802,65.172142
468900,5968170,-999,-999,22.174988,0.410526,231,4,9528.4834,53.96207,68.754089
473220,5968170,-999,-999,39.337372,-0.032787,211,3,12270.1104,48.447166,64.26088
453300,5968350,-999,-999,24.614075,0.40678,231,4,6119.19092,48.295891,64.125076
